index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
0,505934,ASASSN-V J174610.37-152619.8,RRAB,0.1123,16.05,5527.884,0.61802,0.0387
1,504046,ASASSN-V J191731.48+353617.0,RRAB,0.1132,14.66,6680.728,0.60593,0.0162
2,456284,ASASSN-V J062011.28+675148.4,RRC,0.0929,15.13,6573.14,0.32961,0.0259
3,AP39443219,ASASSN-V J075015.49-645653.0,RRC,0.5339,13.68,1758.571,0.357864,0.0106
4,464409,ASASSN-V J183205.91-494042.9,RRAB,0.0887,14.74,6070.996,0.52717,0.0325
5,467939,ASASSN-V J044831.66+261108.7,RRAB,0.248,16.01,3204.071,0.47256,0.0407
6,454574,ASASSN-V J190716.49-292957.3,RRAB,0.1379,14.46,4925.933,0.56074,0.0366
7,456343,ASASSN-V J072220.18+190919.3,RRAB,0.0578,15.71,5798.891,0.55973,0.0424
8,451715,ASASSN-V J174235.21+224256.2,RRAB,0.1164,15.74,5813.673,0.49012,0.0306
9,34560437,ASASSN-V J182703.00+072726.3,RRAB,0.7922,14.61,1216.537,0.482527,0.0302
10,454513,ASASSN-V J003119.06-600638.4,RRAB,0.0579,16.9,5875.548,0.45815,0.0544
11,459465,ASASSN-V J081154.15-751017.0,RRAB,0.0718,15.34,6728.314,0.50773,0.0281
12,451133,ASASSN-V J181731.16+181544.4,RRAB,0.1954,14.66,4325.234,0.5744,0.0186
13,479539,ASASSN-V J101708.66-462128.0,RRAB,0.1737,14.43,4826.399,0.53823,0.0198
14,505932,ASASSN-V J021132.64+533708.1,RRAB,0.1324,15.13,4791.952,0.44999,0.0356
15,456987,ASASSN-V J193205.69-280830.3,RRAB,0.0779,15.79,5961.589,0.62986,0.0347
16,487214,ASASSN-V J180844.85-132257.3,RRAB,0.7227,13.67,1305.244,0.56467,0.0163
17,488729,ASASSN-V J070533.32-212623.6,RRAB,0.0626,16.45,5462.019,0.46504,0.0555
18,AP12996825,ASASSN-V J223054.90+484124.0,RRC,1.4763,11.17,657.0154,0.288408,0.0181
19,AP47329164,ASASSN-V J162906.98-761608.0,RRC,0.788,12.44,1217.695,0.264165,0.0181
20,489206,ASASSN-V J192513.65-135012.0,RRAB,0.1306,15,4946.015,0.51136,0.0278
21,AP36318090,ASASSN-V J045227.87-622002.7,RRAB,0.3094,17.1,2869.43,0.507929,0.0558
22,51539719,ASASSN-V J175541.29-524714.2,RRAB,0.272,14.12,3342.558,0.42791,0.0195
23,450850,ASASSN-V J172133.04+035003.3,RRC,0.1501,13.98,4907.29,0.37636,0.0268
24,502405,ASASSN-V J175314.82+174841.7,RRAB,0.0694,14.76,7460.575,0.631554,0.0208
25,521757,ASASSN-V J114823.40-483909.5,RRAB,0.1052,16.39,5385.66,0.46582,0.0468
26,452786,ASASSN-V J132811.42-361434.0,RRC,0.0873,14.8,6196.451,0.36435,0.0277
27,559906,ASASSN-V J175607.10+183530.8,RRAB,0.0652,16.41,6340.531,0.61316,0.0435
28,523255,ASASSN-V J180907.69-403219.1,RRAB,0.1436,15.14,4765.168,0.36368,0.0528
