index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
0,505934,ASASSN-V J174610.37-152619.8,RRAB,0.1123,16.05,5527.884,0.61802,0.0387
1,504046,ASASSN-V J191731.48+353617.0,RRAB,0.1132,14.66,6680.728,0.60593,0.0162
2,464409,ASASSN-V J183205.91-494042.9,RRAB,0.0887,14.74,6070.996,0.52717,0.0325
3,467939,ASASSN-V J044831.66+261108.7,RRAB,0.248,16.01,3204.071,0.47256,0.0407
4,454574,ASASSN-V J190716.49-292957.3,RRAB,0.1379,14.46,4925.933,0.56074,0.0366
5,456343,ASASSN-V J072220.18+190919.3,RRAB,0.0578,15.71,5798.891,0.55973,0.0424
6,451715,ASASSN-V J174235.21+224256.2,RRAB,0.1164,15.74,5813.673,0.49012,0.0306
7,34560437,ASASSN-V J182703.00+072726.3,RRAB,0.7922,14.61,1216.537,0.482527,0.0302
8,454513,ASASSN-V J003119.06-600638.4,RRAB,0.0579,16.9,5875.548,0.45815,0.0544
9,459465,ASASSN-V J081154.15-751017.0,RRAB,0.0718,15.34,6728.314,0.50773,0.0281
10,451133,ASASSN-V J181731.16+181544.4,RRAB,0.1954,14.66,4325.234,0.5744,0.0186
11,479539,ASASSN-V J101708.66-462128.0,RRAB,0.1737,14.43,4826.399,0.53823,0.0198
12,505932,ASASSN-V J021132.64+533708.1,RRAB,0.1324,15.13,4791.952,0.44999,0.0356
13,456987,ASASSN-V J193205.69-280830.3,RRAB,0.0779,15.79,5961.589,0.62986,0.0347
14,487214,ASASSN-V J180844.85-132257.3,RRAB,0.7227,13.67,1305.244,0.56467,0.0163
15,488729,ASASSN-V J070533.32-212623.6,RRAB,0.0626,16.45,5462.019,0.46504,0.0555
16,489206,ASASSN-V J192513.65-135012.0,RRAB,0.1306,15,4946.015,0.51136,0.0278
17,AP36318090,ASASSN-V J045227.87-622002.7,RRAB,0.3094,17.1,2869.43,0.507929,0.0558
18,51539719,ASASSN-V J175541.29-524714.2,RRAB,0.272,14.12,3342.558,0.42791,0.0195
19,502405,ASASSN-V J175314.82+174841.7,RRAB,0.0694,14.76,7460.575,0.631554,0.0208
20,521757,ASASSN-V J114823.40-483909.5,RRAB,0.1052,16.39,5385.66,0.46582,0.0468
21,559906,ASASSN-V J175607.10+183530.8,RRAB,0.0652,16.41,6340.531,0.61316,0.0435
22,523255,ASASSN-V J180907.69-403219.1,RRAB,0.1436,15.14,4765.168,0.36368,0.0528
23,454745,ASASSN-V J134344.54+780732.9,RRAB,0.0479,15.33,7115.711,0.70287,0.0264
24,484920,ASASSN-V J173634.17-141103.3,RRAB,0.0553,16.07,7199.228,0.4325,0.043
25,455542,ASASSN-V J162027.43-304550.8,RRAB,0.2198,14.61,3576.142,0.55886,0.0216
26,482905,ASASSN-V J142202.28-465101.7,RRAB,0.1613,15.25,4401.41,0.45648,0.0334
27,510069,ASASSN-V J181911.72-415813.5,RRAB,0.0839,14.88,6145.725,0.77737,0.0247
28,AP52122421,ASASSN-V J163846.03-404425.5,RRAB,0.4576,14.68,1974.91,0.443503,0.0205
