index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
0,456284,ASASSN-V J062011.28+675148.4,RRC,0.0929,15.13,6573.14,0.32961,0.0259
1,AP39443219,ASASSN-V J075015.49-645653.0,RRC,0.5339,13.68,1758.571,0.357864,0.0106
2,AP12996825,ASASSN-V J223054.90+484124.0,RRC,1.4763,11.17,657.0154,0.288408,0.0181
3,AP47329164,ASASSN-V J162906.98-761608.0,RRC,0.788,12.44,1217.695,0.264165,0.0181
4,450850,ASASSN-V J172133.04+035003.3,RRC,0.1501,13.98,4907.29,0.37636,0.0268
5,452786,ASASSN-V J132811.42-361434.0,RRC,0.0873,14.8,6196.451,0.36435,0.0277
6,43762553,ASASSN-V J080232.88-364133.0,RRC,0.4779,13.44,1226.025,0.23006,0.0117
7,44378360,ASASSN-V J074042.87-323958.3,RRC,0.4685,13.94,1974.079,0.271241,0.025
8,AP52460117,ASASSN-V J153447.07-452408.3,RRC,0.5221,14.66,1999.559,0.180586,0.1594
9,AP39461694,ASASSN-V J083229.55-622024.4,RRC,0.1187,15.84,5424.117,0.301024,0.0387
10,AP47417288,ASASSN-V J141203.91-764300.9,RRC,0.1736,13.9,4569.059,0.279986,0.019
11,40849810,ASASSN-V J110611.94-520417.0,RRC,0.1668,15.2,4619.321,0.455609,0.0211
12,451159,ASASSN-V J183119.78+195810.2,RRC,0.1883,14.57,4398.686,0.32676,0.0193
13,AP53575077,ASASSN-V J163036.35-294550.1,RRC,0.1266,15.37,4990.737,0.261347,0.046
14,AP36360181,ASASSN-V J042829.11-641646.6,RRC,0.604,13.41,1571.817,0.29784,0.0166
15,AP36105307,ASASSN-V J040851.25-740949.0,RRC,1.83,11.64,537.2894,0.219768,0.0136
16,27831766,ASASSN-V J182604.27-343308.4,RRC,0.2131,13.97,7264.361,0.387194,0.0176
17,514559,ASASSN-V J182901.33-455730.6,RRC,0.1508,14.54,5011.494,0.33165,0.0216
18,AP49965383,ASASSN-V J151313.62-532143.7,RRC,0.1107,14.36,6440.166,0.380475,0.039
19,AP51750410,ASASSN-V J173042.32-452930.6,RRC,0.405,14.42,2191.865,0.333418,0.0218
20,AP53119649,ASASSN-V J161853.19-354031.0,RRC,0.1008,16.03,5616.866,0.349455,0.0512
21,AP7531552,ASASSN-V J102309.24+751822.9,RRC,0.1305,15.26,5118.433,0.363527,0.0236
22,AP38157783,ASASSN-V J091236.66-754139.8,RRC,0.496,12.26,1892.3,0.296015,0.0125
23,654920,ASASSN-V J214347.75-340555.9,RRC,0.1049,15.39,3870.501,0.3326,0.0328
24,460688,ASASSN-V J220542.89-200930.7,RRC,0.1915,14.11,3693.222,0.39527,0.0202
25,654961,ASASSN-V J051134.22-832756.8,RRC,0.1609,14.52,4900.924,0.353945,0.017
26,AP38670083,ASASSN-V J105139.60-641640.0,RRC,0.3755,13.64,5694.244,0.187403,0.1908
27,AP59605638,ASASSN-V J184934.33-384729.1,RRC,0.1282,14.76,5299.633,0.264188,0.0293
28,AP54063405,ASASSN-V J134831.59-550024.9,RRC,0.622,13.74,1513.357,0.286433,0.0168
29,AP49238973,ASASSN-V J121703.69-654804.4,RRC,1.9961,13.78,19753.7,0.246478,1.3054
30,AP55321987,ASASSN-V J123929.57-451543.1,RRC,0.8449,12.98,1104.444,0.198484,0.05
31,AP48263276,ASASSN-V J153429.12-604539.7,RRC,0.114,15.72,6630.757,0.250279,0.0594
32,21479884,ASASSN-V J071124.18-001301.2,RRC,1.4772,11.98,658.0358,0.244704,0.031
33,462863,ASASSN-V J163125.51-145903.8,RRC,0.4451,13.76,2105.047,0.29952,0.0158
34,AP59718714,ASASSN-V J183452.68-340935.0,RRC,0.0351,15.28,6602.027,0.301418,0.0347
