index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
0,AP28504059,ASASSN-V J185410.32-211713.4,RRD,0.7181,14.9,1323.036,0.58292,0.0336
1,493116,ASASSN-V J185252.22-224437.9,RRD,0.1553,14.7,4692.497,0.460867,0.029
2,460279,ASASSN-V J195422.53-120925.8,RRD,0.0871,14.75,6357.74,0.46088,0.0249
3,491008,ASASSN-V J165037.55-192451.0,RRD,0.1167,15.65,5332.96,0.470065,0.0379
4,460288,ASASSN-V J195104.31-140946.9,RRD,0.1842,14.85,4203.82,0.587509,0.0269
5,463197,ASASSN-V J165223.80-031229.8,RRD,0.0573,14.76,7784.568,0.575635,0.034
6,452237,ASASSN-V J181054.63-602957.7,RRD,0.1294,14.36,5630.143,0.466651,0.0257
7,35847349,ASASSN-V J181040.34+281814.1,RRD,1.7731,14.08,553.9152,0.535583,0.0136
8,470462,ASASSN-V J194811.39-103606.6,RRD,0.0592,15.14,8343.369,0.458713,0.032
9,490600,ASASSN-V J163324.05-163618.9,RRD,0.1449,15.46,5857.277,0.57117,0.0318
10,487964,ASASSN-V J191129.41-190632.7,RRD,0.1438,14.14,4698.786,0.455975,0.0272
11,490529,ASASSN-V J162851.87-171425.1,RRD,0.2942,14.59,2998.827,0.595213,0.0242
12,463638,ASASSN-V J171243.65-032111.1,RRD,0.1786,16.29,4114.699,0.590223,0.0406
13,459140,ASASSN-V J200552.28-134140.0,RRD,0.1368,14.87,4861.167,0.463835,0.0294
14,462876,ASASSN-V J164144.87-125643.0,RRD,0.2664,14.43,3462.072,0.472398,0.0208
15,494050,ASASSN-V J170731.00-161236.4,RRD,0.1563,14.04,4406.105,0.584699,0.0456
16,AP59003970,ASASSN-V J201011.76-402057.2,RRD,0.1693,15.41,4266.442,0.55297,0.0358
17,657565,ASASSN-V J182518.28-423003.2,RRD,0.1058,15.41,5425.312,0.583123,0.0317
18,AP34085522,ASASSN-V J154344.20+063251.3,RRD,0.2955,15.54,2680.827,0.552654,0.0546
19,518382,ASASSN-V J063448.83-052553.5,RRD,0.1607,15.05,4943.437,0.470207,0.0319
20,479800,ASASSN-V J201715.72-160441.4,RRD,0.0789,15.79,4972.97,0.471355,0.0636
21,AP36543375,ASASSN-V J032532.59-594909.3,RRD,0.4831,16.87,1913.033,0.574776,0.0436
22,470529,ASASSN-V J195105.01-101608.7,RRD,0.0952,15.7,5353.481,0.470192,0.0419
23,469995,ASASSN-V J200311.74-112523.8,RRD,0.0763,15.53,5519.141,0.459607,0.0375
24,469320,ASASSN-V J102207.54-183936.8,RRD,0.131,14.62,5908.722,0.56981,0.0251
25,460206,ASASSN-V J194342.70-151128.2,RRD,0.1801,14.93,4057.467,0.464108,0.0264
26,50216253,ASASSN-V J141800.27-554838.1,RRD,0.2493,14.47,3671.86,0.562354,0.0423
27,9466223,ASASSN-V J205611.34+091800.8,RRD,0.1069,16.45,5158.229,0.463534,0.0616
28,467395,ASASSN-V J052726.83-172525.6,RRD,0.1268,14.79,5992.637,0.458126,0.0221
29,491004,ASASSN-V J165558.75-181933.6,RRD,0.1921,15.08,3798.949,0.469608,0.0314
30,486867,ASASSN-V J063533.12-141709.6,RRD,0.2205,16.11,3184.862,0.470826,0.0527
31,463158,ASASSN-V J165957.32-072457.6,RRD,0.1142,15.79,5236.308,0.474344,0.0444
